text;labels
apakamobilterbarubanyakdimilikiorkalayasekarang;Apa mobil terbaru banyak dimiliki orang kalau ya sekarang?
kasianyadengankucingituadaterusdisikamutetapigatelpadamu;Kasian dengan kucing itu, ada terus disikamutetapi gatel padamu.
kenapabiskamutidakterlibatdalamkegiatankelasini;Kenapa bis kamu tidak terlibat dalam kegiatan kelas ini?
berapadurasiwaktunyakesinirekamanmusiktersebut;Berapa durasi waktu nyata rekaman musik tersebut?
bisakamumembawakankukakibatnyasetelahpesta;Bisa kamu membawakan kue akibatnya setelah pesta?
takutkahkamuapabilamalaminitidakberbisikubanguntuhanmu;Takutkah kamu apabila malam ini tidak berbisikubang untukmu?
apakahakandanteman-temankamuakanmenontonfilmyangsamanamu;Apakah Anda dan teman-teman kamu akan menonton film yang sama nanti?
penasaranapakahrestoranitumemilikimenumakananpalingenak;Penasaran apakah restoran itu memiliki menu makanan paling enak.
maukemanaandenganmobilcepatsepertitersebut;Mau ke mana Anda dengan mobil cepat seperti itu?
apakahkauingatwaktuditanyamengenaitugasbesok;Apakah kamu ingat waktu di tanya mengenai tugas besok?
berapahargadaripadabahanbakarmurahsekarang;Berapa harga dari pada bahan bakar murah sekarang?
kenapasiswadikelasinimenganggurterus;Kenapa siswa di kelas ini menganggur terus?
mengapabiskamutidaktahubahwafilmyangkamutontonpopuler;Mengapa bis kamu tidak tahu bahwa film yang kamu tonton populer?
harusbayarkanuangtambahanuntukparkirdimallini;Harus bayarkan uang tambahan untuk parkir di mal ini.
apakamubingungdenganpertanyaantersebut;Apa kamu bingung dengan pertanyaan tersebut?
tanyakanpadanyasebelumkamuasumsikanapa-apa;Tanyakan pada nya sebelum kamu asumsikan apa-apa.
bisakahkamumembelikanakuhiaskantorbaru;Bisakah kamu membelaikan aku hias kantor baru?
pernahkahkamudatangketempatinitanpamenikmatimenumannyayanglezat;Pernahkah kamu datang ke tempat ini tanpa menikmati menu makanan yang lezat?
apakamubisingbelikansayapaketitumeriah;Apa kamu bisa membelikan saya paket item yang meriah?
berapahargapulsamurahdioperatorkartusimpati;Berapa harga pulsa murah di operator kartu Simpati?
bisakahkamumembelikankuangmasitukamarhotel;Bisakah kamu membelikan kuang mas itu kamar hotel?
mengapakamumarakamudipersolekdemikedepancermin;Mengapa kamu marah kamu dipersolek depan cermin?
haruskahkamumengajakakuliburankepantaiyangindahini;Haruskah kamu mengajak aku liburan ke pantai yang indah ini?
apakahbukuyangkamubacuksedangterbarudikelasini;Apakah buku yang kamu baca sedang terbaru di kelas ini?
maukemanaandengansepedamotorkecilcepatsepertiusaha;Mau ke mana Anda dengan sepeda motor kecil cepat seperti usaha?
kenapasiswadikalasinitampaktertikungdankurangantusias;Kenapa siswa di kelas ini tampak tertikung dan kurang antusias?
bisakahkamumembelikanakumakannikmatdiwarungterdekat;Bisakah kamu membelikan aku makanan nikmat di warung terdekat?
pernahkahkamumenontonfilmdenganceritayangmengharukan;Pernahkah kamu menonton film dengan cerita yang mengharukan?
dimanakucarihadiahultahyangbagusuntukpacarsayaini;Di mana aku cari hadiah ulang tahun yang bagus untuk pacar saya ini?
apakahkamubisamembantusayamencarikendaraantransportasiyangnyamandanjelas;Apakah kamu bisa membantu saya mencari kendaraan transportasi yang nyaman dan jelas?
berapahargasebutpunyahteleponpintarkualitasbagusdenganfiturcanggih;Berapa harga sebut punya telepon pintar kualitas bagus dengan fitur canggih?
bisakahkamuajakakuberbelanjaridwankepadakooyangindahitu;Bisakah kamu ajak aku berbelanja di Dwanke pada koo yang indah itu?
kenapakamumarah-marahdantidakberbicaraburukmengenaioranglain;Kenapa kamu marah-marah dan tidak berbicara buruk mengenai orang lain?
haruskahakukembalikanuangyangsudahkamupinjambarubaru;Haruskah aku kembalikan uang yang sudah kamu pinjam barubaru?
apakahiniadalahpengalamanhidupterbaikkuyangpernahakualamidalamhidupini;Apakah ini adalah pengalaman hidup terbaik yang pernah aku alami dalam hidup ini?
mengapakamubilangtidakketemukemana-mana,padahaltugasmuuntukmencariitu;Mengapa kamu bilang tidak ketemu kemana-mana, padahal tugasmu untuk mencari itu?
bisakahkamumembelikansayamakanandelimahterlezatyangbisakusantapharapkan;Bisakah kamu membelikan saya makanan delima terlezat yang bisa ku santapkan?
apakahkamubisamemperbaikitempatyangsudahberantakkudirumahini;Apakah kamu bisa memperbaiki tempat yang sudah berantakku di rumah ini?
beritapilihanharikemarinbanyakmengupassoalpertandinganbolaterakhir;Berita pilihan hari kemarin banyak mengupas soal pertandingan bola terakhir.
tanyakanpadaibumukabukuyangsedangkubacaadalahbukuyangbagus;Tanyakan pada ibu, mukabuku yang sedang kubaca adalah buku yang bagus.
beritainiterkaitdenganhasilrapatpenentuananggotaorganisasikamiseluruhnegara;Berita ini terkait dengan hasil rapat penentuan anggota organisasi kami seluruh negara.
apakahkamuakanmenghadiriperayaankeluargakamusesudahmalaminginini;Apakah kamu akan menghadiri perayaan keluarga kami sesudah malam ini?
tanyakanpadadoctorfauzidapatanakitakulambamenggangguaktivitaskeseharian;Tanyakan pada Dr. Fauzi, dapa tanakita kula mbamengganggu aktivitas keseharian.
beritainiterbarumengenaiterjadinyakebakaranhebatdisebuahpabrik;Berita ini terbaru mengenai terjadinya kebakaran hebat di sebuah pabrik.
tanyakanpadapakpolisidimanasayabisaangkutmobilsayakebengkel;Tanyakan pada Pak polisi, di mana saya bisa angkut mobil saya ke bengkel?
beritaterkini:presidenakanmengunjungikabupatenkamihariini;Berita terkini: Presiden akan mengunjungi kabupaten kami hari ini.
apakahkamubisaantarkankartupostpaidkubulaninikekantorpos;Apakah kamu bisa antarkan kartu postpaidku bulan ini ke kantor pos?
tanyakanpadatemansekelaskutentangprosedurpembayaranuangkuliah;Tanyakan pada teman sekelasku tentang prosedur pembayaran uang kuliah.
beritainiterkaitdengankemenanganbesartimnasionalpadapertandingansebelumnyadiolimpik;Berita ini terkait dengan kemenangan besar tim nasional pada pertandingan sebelumnya di Olimpik.
tanyakanpadatemansebelahruangankantorapakahmerekasudahmengantargurupegangcicakdiuang;Tanyakan pada teman sebelah ruangan kantor apakah mereka sudah mengantar guru pegang cicak di uang?
beritapentingterkiniterkaitdengansahamdariperusahaankamuyangmencapaihargaalltimetertinggi;Berita penting terkini terkait dengan saham dari perusahaan kamu yang mencapai harga all-time tertinggi.
apakahkamupernahmelihathanturanseringkliennonaktifdisebuahperusahaantelekomunikasi;Apakah kamu pernah melihat hantur an sering klien nonaktif di sebuah perusahaan telekomunikasi?
tanyakankepadaanakkamudiakelaskapandisipilinfopsuapahasanterbarudiobrolkan;Tanyakan kepada anak kamu di akelaskapandisipilinfopsu apahasan terbaru diobrolkan.
beritainiterkaitdengankemenanganbesartimnasionalpadapertandingansebelumnyadiolimpik;Berita ini terkait dengan kemenangan besar tim nasional pada pertandingan sebelumnya di Olimpik.
tanyakanpadatemansebelahruangankantorapakahmerekasudahmengantargurupegangcicakdiuang;Tanyakan pada teman sebelah ruangan kantor apakah mereka sudah mengantar guru pegang cicak di uang?
beritapentingterkiniterkaitdengansahamdariperusahaankamuyangmencapaihargaalltimetertinggi;Berita penting terkini terkait dengan saham dari perusahaan kamu yang mencapai harga all-time tertinggi.
apakahkamupernahmelihathanturanseringkliennonaktifdisebuahperusahaantelekomunikasi;Apakah kamu pernah melihat hantur an sering klien nonaktif di sebuah perusahaan telekomunikasi?
tanyakankepadaanakkamudiakelaskapandisipilinfopsuapahasanterbarudiobrolkan;Tanyakan kepada anak kamu di akelaskapandisipilinfopsu apahasan terbaru diobrolkan.
beritapopulerdiputarmalaminiadalahkabarpenangkapanpelakuperampokanbanke;Berita populer diputar malam ini adalah kabar penangkapan pelaku perampokan bank.
tanyakanpadapengemudabisaapakahdiaterlambatdisepanjangjalanmelatisamarinda;Tanyakan pada pengemuda bisa apakah dia terlambat di sepanjang jalan Melati Samarinda?
beritaterkiniseputarkonflikperbatasanantarnegarainimembuathubunganantaraduakomitmeningkat;Berita terkini seputar konflik perbatasan antar negara ini membuat hubungan antara dua komitmen meningkat.
apakahkamuakanmenghadiriperayaaandanlombaolahragayangakansegeradiadakan;Apakah kamu akan menghadiri perayaan dan lomba olahraga yang akan segera diadakan?
tanyakankepadadokterapakahsudahwaktunyabagimuuntukmelakukanvaksinasisarscov2;Tanyakan kepada dokter apakah sudah waktunya bagimu untuk melakukan vaksinasi COVID-19.
beritainicampuradukmengenaituntutanpenurunanbiayatransportasipublikpadaajangdemonstrasi;Berita ini campur aduk mengenai tuntutan penurunan biaya transportasi publik pada ajang demonstrasi.
tanyakanpadagurudapatkahakumengajukanperubahandalamjadwalmatakuliahini;Tanyakan pada guru, dapatkah aku mengajukan perubahan dalam jadwal mata kuliah ini?
beritaterkiniseputarsusupenangkapanbandarbukanyangdiketahuiolehpolisilokal;Berita terkini seputar susu penangkapan bandar narkoba yang diketahui oleh polisi lokal.
apakahkamudapatmembantusayamenemukandokterspesialisanakterbaikdikotaini;Apakah kamu dapat membantu saya menemukan dokter spesialis anak terbaik di kota ini?
tanyakankepadatemanbisakahkamumengirimkankufilepresentasiterbarumu;Tanyakan kepada teman, bisakah kamu mengirimkan file presentasi terbarumu?
beritapopulerdiberitakanpenggantengubernurdisanapadabulanseptembermendatang;Berita populer diberitakan penggantian gubernur di sana pada bulan September mendatang.
tanyakanpadaresepsionisdiapakahnamadokteranakkonsultasikuakanmemilihuntukmeninggalkanrumahsakit;Tanyakan pada resepsionis, di apakah nama dokter anak konsultasiku akan memilih untuk meninggalkan rumah sakit?
beritaterkinimerupakanhasildaripersidangdewankonstitusitentangpengujianundangundangterbaru;Berita terkini merupakan hasil dari persidangan Dewan Konstitusi tentang pengujian undang-undang terbaru.
apakahkamumemilikiberitaterbarudarikuhandphonedalampekerjaankantormu;Apakah kamu memiliki berita terbaru dariku handphone dalam pekerjaan kantor mu?
tanyakankepadadosenapakahakuperlukankerjakerasuntukmendapatkanperingkattinggidiujianini;Tanyakan pada dosen, apakah aku perlu kerja keras untuk mendapatkan peringkat tinggi di ujian ini?
kirimkandokumentasipemecatanpegawaiyangtelahdipecatkepadabagianpersonalia;Kirimkan dokumentasi pemecatan pegawai yang telah dipecat ke pada bagian personalia.
beritainiterkaitdenganpenangkapanbandarterselubungdirumahsebelahpadaakhirpekanlalu;Berita ini terkait dengan penangkapan bandar terselubung di rumah sebelah pada akhir pekan lalu.
apakahkamubisamemberikankusaranjadwalpertemuanuntukkelompokkamudiakhirpekanini;Apakah kamu bisa memberikan saran jadwal pertemuan untuk kelompok kamu di akhir pekan ini?
tanyakanpadapelayanrestorandapatkahkamumenggantikantelurorakararumahmakanini;Tanyakan pada pelayan restoran, dapatkah kamu menggantikan telur orak-arak rumah makan ini?
beritapopulerdiinternetadalahfotoselfiesebuahsekolahsewaktuberadadikorea;Berita populer di internet adalah foto selfie sebuah sekolah sewaktu berada di Korea.
tanyakanpadaresepsionisapakahakumendapatkankamarhoteldenganpemandanganlaut;Tanyakan pada resepsionis, apakah aku mendapatkan kamar hotel dengan pemandangan laut?
beritaterkinibanyakmembahasrelaksasiberkendaraanselamaakhirpekanpadaakirdesember;Berita terkini banyak membahas relaksasi berkendaraan selama akhir pekan pada akhir Desember.
apakahkamuakanmenghadiriperayaanulangtahunkamubesarinitahun;Apakah kamu akan menghadiri perayaan ulang tahun kamu besar ini tahun?
tanyakankepadadosenbagaimanacarahitungnilaiujianyangbenardiuniversitaskami;Tanyakan kepada dosen, bagaimana cara hitung nilai ujian yang benar di universitas kami?
beritainidiliputsecaralengkapmengenaitindakkejahatanyangberkaitandengancuramata;Berita ini diliput secara lengkap mengenai tindak kejahatan yang berhubungan dengan cura mata.
tanyakanpadaibumukabukuyangsedangkubacaapakahkitatidakbisaikutanmembacakitadisini;Tanyakan pada ibu, mukabuku yang sedang kubaca, apakah kita tidak bisa ikutan membaca kita di sini?
beritaterkiniseputarkasuskejahatanyangmelibatkanseorangtokohterkenaldalamnegriini;Berita terkini seputar kasus kejahatan yang melibatkan seorang tokoh terkenal dalam negeri ini.
apakahkamuakanmenyediakantumpangankemobilapabilakesianganangkutankutidakbisadibawapergikesekolah;Apakah kamu akan menyediakan tumpangan kemobil apabila kesiangang an angkutan kita tidak bisa dibawa pergi ke sekolah?
tanyakanpadadoktermengapaakumerasasedak3hariiniapakahiniadalahgejalamenyusui;Tanyakan pada dokter, mengapa aku merasa sedak 3 hari ini, apakah ini adalah gejala menyusui?
beritainipalingbanyakdibagikanmengenaikematianseorangartispopulerdalamnegriini;Berita ini paling banyak dibagikan mengenai kematian seorang artis populer dalam negeri ini.
tanyakankepadagurudapatkahkanakberangkatlebihawalkesekolahsehubungandengantugaskelas;Tanyakan pada guru, dapatkah anak berangkat lebih awal ke sekolah sehubungan dengan tugas kelas?
beritaterkinisangatmengkhawatirkankarenakekuranganstokvaksinasiberhampiranaksibulan;Berita terkini sangat mengkhawatirkan karena kekurangan stok vaksina seberhampiran akhir bulan.
apakahkamumelihatsayadiplazaharikemarindenganseseorangwanitayangmembawabanyaktasbelanja;Apakah kamu melihat saya di plaza hari kemarin dengan seorang wanita yang membawa banyak tas belanja?
tanyakanpadatemansekelasapakahdiabisaikutankeacarainiformasiyangakanadaadipesekolah;Tanyakan pada teman sekelas, apakah dia bisa ikutan ke acara informasi yang akan ada di sekolah?
beritapopulerdiputarsepanjanghariiniberkaitaneratdenganramainyapestaarus;Berita populer diputar sepanjang hari ini berkaitan erat dengan ramainya pesta arus.
haykamupunyainformasitentangjadwalmatakuliahhariini;Hai, kamu punya informasi tentang jadwal mata kuliah hari ini?
apanyapembaruanterbarudalamkebijakanprivasiaplikasisosialmedia;Apa yang pembaruan terbaru dalam kebijakan privasi aplikasi sosial media?
maafakuadahtelatapakahbisaakumengejarmobilangkotini;Maaf, aku sudah telat, apakah bisa aku mengejar mobil angkot ini?
bisakamumemberikanpetunjukarahmenujukebibliotekkota;Bisakah kamu memberikan petunjuk arah menuju ke bibliotek kota?
apaakamutelahmendengarberitaterkaitperubahanjadwalpenerbangan;Apa kamu telah mendengar berita terkait perubahan jadwal penerbangan?
bisakamumembantusayamengaturjadwalpertemuanbesok;Bisakah kamu membantu saya mengatur jadwal pertemuan besok?
maafsebelumnyasayatidakkunjugkepestaulangtahundirumahmu;Maaf sebelumnya, saya tidak kunjung ke pesta ulang tahun di rumahmu.
bisakamumenunjukkancarapenggunaanaplikasiini;Bisakah kamu menunjukkan cara penggunaan aplikasi ini?
apakahakudapatmendapatkanbantuandarimuuntukmengerjakantugasini;Apakah aku dapat mendapatkan bantuan darimu untuk mengerjakan tugas ini?
maafapakahkamubisamenjelaskankembalikondisijalanini;Maaf, apakah kamu bisa menjelaskan kembali kondisi jalan ini?
bisakahkamumembantusayamenemukanlokasiterbaikuntukberbelanjadiarea;Bisakah kamu membantu saya menemukan lokasi terbaik untuk berbelanja di area ini?
apakahkamubisamengantikandetektoryangrusakdalamkamarkoskam;Apakah kamu bisa menggantikan detektor yang rusak dalam kamar kos kamu?
terimakasihatasbantuanmumengaturpaketliburankelasku;Terima kasih atas bantuanmu mengatur paket liburan kelasku.
maafapakahbisaakupinjamsebaiknyauntukwaktusebentar;Maaf, apakah bisa aku pinjam sebentar untuk waktu ini?
bisakahkamumemberikankusarankursiterbaikuntukbelajarmatematika;Bisakah kamu memberikan saran kursi terbaik untuk belajar matematika?
maafapakahkamuakumengetahuiterkaitacarapemesanantiketbisini;Maaf, apakah kamu sudah mengetahui terkait cara pemesanan tiket bis ini?
bisakahkamuakanmengirimkanfilepresentasiterbarumusebentarlagi;Bisakah kamu akan mengirimkan file presentasi terbarumu sebentar lagi?
terimakasihataswaktudanperhatianyadalammenjawabpertanyaanku;Terima kasih atas waktu dan perhatianya dalam menjawab pertanyaanku.
maafapakahkamuakumengetahuisesuatuyangbisaakugunakanuntukmembersihkanrumah;Maaf, apakah kamu sudah mengetahui sesuatu yang bisa aku gunakan untuk membersihkan rumah?
bisakahkamumembantuakumencarikanrekommendasitempatmakanterbaikdiarea;Bisakah kamu membantu aku mencarikan rekomendasi tempat makan terbaik di area ini?
mintaampunbuk,akusudahtelatkirimpesanmu;Mintalah maaf, buk, aku sudah telat kirim pesanmu.
bolehkahakumemintasalindenganmuuntukpekerjaanini;Bolehkah aku meminta salinan denganmu untuk pekerjaan ini?
apakahkamumengertiinstruksidarisupiriini;Apakah kamu mengerti instruksi dari supir ini?
jangantinggalkanakukedinginkanobatkamuterlebihdahulu;Jangan tinggalkan aku, aku ingin obat kamu terlebih dahulu.
bisakahkamuajakakuuntukmakanmalamdiluar;Bisakah kamu ajak aku untuk makan malam diluar?
terimakasihbanyakatasbantuannyauntukproyekkami;Terima kasih banyak atas bantuannya untuk proyek kami.
hayomongkerentemankamutersebut;Hai, omong keren teman kamu tersebut!
bisakahkamumembantusayamenemukankuncikamar;Bisakah kamu membantu saya menemukan kunci kamar?
selamatpagikawan-kawandiseluruhdunia;Selamat pagi, kawan-kawan di seluruh dunia.
maafakusudahmengambiltempatdudukmu;Maaf, aku sudah mengambil tempat dudukmu.
bisakahkamumemberikankuinformasitentangpenerbangantujuanini;Bisakah kamu memberikan informasi tentang penerbangan tujuan ini?
jangankhawatirkamiakankembaliuntukmengambilbarangtersebut;Jangan khawatir, kami akan kembali untuk mengambil barang tersebut.
apakahbukusudahdikembalikankeperpusatasebentarlagi;Apakah buku sudah dikembalikan ke perpustakaan sebentar lagi?
hayapakahbukusudahterimaundanganpestaaku;Hai, apakah kamu sudah terima undangan pesta aku?
